,shunyi_meo,hadian_meo,yanqing_meo,miyun_meo,huairou_meo,shangdianzi_meo,pinggu_meo,tongzhou_meo,chaoyang_meo,pingchang_meo,zhaitang_meo,mentougou_meo,beijing_meo,shijingshan_meo,fengtai_meo,daxing_meo,fangshan_meo,xiayunling_meo
tiantan_aq,32.10666485459303,14.985164153370867,72.87722468831865,67.0630064915374,55.69312232239474,104.68916454333254,68.23456611854168,30.14825690872312,10.89557036671895,41.029034415728624,61.72583480707877,21.383375728330314,10.360108827675514,18.315539526199863,13.910405861343746,19.14664240760931,22.091482839376336,59.55704242173568
tongzhou_aq,27.067868604154118,33.67986149792884,86.04499335200494,57.26576185478082,52.548872700241525,93.99350606216845,49.92767951315249,9.068232217303192,15.68246815187636,53.68985531628636,83.35047175040171,43.22511916251258,18.76066699390311,39.54012735387416,35.687969774657745,32.26797402005898,41.958491866934736,80.7151635117269
qianmen_aq,31.50871786226278,13.225375790612182,71.11204766804434,66.4948926751243,54.69259175850552,104.09371094084605,68.49029165490191,31.390749102152334,10.809040861043925,39.29458783324089,60.49427170063662,20.394887381052676,12.127171788404896,16.88690910575032,13.168089870762655,20.355301495285445,22.139988629785122,59.021014086139516
gucheng_aq,43.68015274175636,12.177462947948927,62.28011716695611,77.45017556069396,62.0716605360703,114.24409026138234,84.41275133840762,49.421270902054864,27.351437159583885,34.47682162152782,42.44972641072735,3.7482514422483657,27.15742603241756,3.651686482525645,7.1391192201071725,26.152469633392993,15.696346607432202,43.11831695737725
guanyuan_aq,32.19426139836724,7.652653599278753,65.85896964197099,66.92692354226985,53.59325722701637,104.31283196767384,71.47709738034096,36.769400175455665,14.042249153604788,34.475039711451046,55.357296935048154,16.23618509325854,17.62560954677627,11.499616943570569,10.322607289574565,23.431361361478338,21.29667747142651,55.749693098951184
dongsi_aq,27.714952087825466,12.556363362109057,69.2668214848136,62.70095146487516,50.90823368427423,100.2892745007208,65.36704261139147,30.364113552540907,7.609856773241497,37.099564040725156,61.981855262454225,22.696373998411257,14.379011275824645,18.11384060787532,16.038215739403263,23.99642450381454,25.739741550774895,61.912453849164066
mentougou_aq,48.21709490310265,16.68088120534803,58.15923605752477,80.93558037782319,64.41810423569521,117.1197454525175,89.91091987421856,56.396282281347105,33.703319097629596,33.08376049757822,35.506429739652866,6.958910630080623,34.26141990609783,8.486041188658506,14.006766384630147,32.24612235747069,19.722236430811524,38.86730085919242
nongzhanguan_aq,24.84600543066897,15.551988322764055,70.66833630969415,59.77534150466296,48.86813506300435,97.4074096740531,61.586843757391016,27.116891042689833,3.808114296052141,38.25854159693363,65.65554240289252,26.55040678479376,14.572031582516974,21.810291734033314,19.84057351006445,25.932571921912857,29.174015142422693,65.7368318102818
dongsihuan_aq,23.712667386606974,17.246058357316862,71.61262400580677,58.538055729119655,48.146415998116105,96.17716283996405,59.79603994613017,25.468003945555296,2.136488041332675,39.147212976443306,67.51302588090674,28.43242166853563,14.82180403856779,23.680186595793533,21.669588169362132,26.85263280868392,30.795092811376875,67.57383552661283
xizhimenbei_aq,29.70648580312585,6.182602445851547,63.85242599737773,64.29482975971726,50.73259900754995,101.61543007786238,69.6732906135002,36.736632852629185,12.943144097301008,32.146610331885995,56.01765274780051,18.000698613607273,19.391983104822007,12.31813760696293,12.842371700131665,26.178215066456364,24.07192729036092,57.67721647943423
aotizhongxin_aq,24.574673411657436,9.08568888076565,63.427494844937584,59.238387639958,46.12681094866886,96.62268593355034,64.77281036296316,34.12641575699591,9.437233338217458,31.122218794586054,60.059238691156764,23.035365954900147,20.511263497650795,16.9200120000861,17.936401530809242,29.511996877835287,28.972028251310856,62.719208837976744
wanliu_aq,31.965671828173434,0.30298431799176423,58.0835961034032,65.49444687769004,50.33926108885983,102.3190138699021,73.53812001750404,42.95341751402121,18.62189305938915,27.048866293744,50.69877295446516,15.675817776836245,25.432556740312958,8.543526063025316,13.457693021125348,30.393788731130257,25.073748634349702,54.7819929964999
zhiwuyuan_aq,37.407730452003086,7.31209197341712,53.70353836783797,69.7094298565016,53.271545145690986,105.90413688761096,79.68816084386425,49.92141998366872,25.635034125188895,24.614377899707904,43.96789602004714,13.413778372468919,31.234655609448758,6.617734993672539,15.006046751830539,33.93160046702473,25.48103294258662,50.08959034915391
beibuxinqu_aq,37.7492884756227,15.158290807116138,43.59256698739686,66.74112251793336,48.635108793109445,101.54115915926555,80.72283368036169,56.50351596081684,31.754254241818597,15.167648227898683,43.00267630798154,22.536116411484894,40.38277372728671,16.6161568688163,25.175546801857546,44.07172502836415,35.28458747439058,54.603738727426716
donggaocun_aq,43.023232043742134,71.71748611356905,105.10178000991564,37.73189361303397,50.73108527481057,62.149705379576375,7.724191378251371,41.795539989182615,55.21271775348843,78.39712088739094,122.3576556328082,85.41215231932279,64.36519555638084,79.83628051848748,78.78108794271678,77.85942125967544,86.90486777131557,124.68462544163663
shunyi_aq,3.3774640109818863,34.70766646463089,68.35370682438413,33.0296637605062,25.77160389146363,70.66546031349782,39.615975195618134,32.26343240811949,23.42530560201106,39.159734375578026,83.69852895352152,50.110231625471506,39.02839068377201,43.43788397420675,45.088344962893224,52.144510100835625,55.606417154505394,89.67923459926699
pinggu_aq,41.24712918792309,71.03490024521864,101.8004508845389,32.869144784084675,46.71322411610209,57.37281414209641,3.3059272171497702,43.98926288855062,55.225396281344295,75.99170212437262,121.2776476196718,85.22249649501697,65.50007473090704,79.36054277986749,78.86174717623649,79.17123712981198,87.4809650821578,124.72819780762924
pingchang_aq,34.24173785799617,26.094382696747438,34.02795235488991,56.666271211586015,37.13016181862981,89.34132258512454,75.59168849759624,60.81732849490667,37.36172281880323,1.7084878625366937,53.13444536066414,37.14017777990129,50.03316473706854,30.59543788888166,38.57573554058296,56.423992278875915,49.45872654292613,68.4739489845192
dingling_aq,38.27118942311256,34.44682856382462,27.550733961315448,55.421819288182824,35.264995462237735,85.74705050618894,77.4224313247958,67.29311062257064,44.66877921096162,7.668072128554028,57.134758214907855,45.272082527414746,58.0507046535022,38.882839957441604,46.94272645545665,64.77816728359983,57.74597177919629,74.7785153578386
huairou_aq,22.413315383954064,47.545589127163055,57.43242885617109,20.755577841349915,3.3123507682708904,55.01367120846391,45.15145314900336,54.538896914281416,43.130347971932586,37.18791624209748,88.74607992058549,63.28362075510292,59.57933728841921,55.936236453509494,60.41631390396892,71.65288272928794,71.91183933996166,100.75432472180212
badaling_aq,59.47003328207397,49.274118401921534,9.52821386458947,74.2375778231268,54.14223545305626,100.45589825268267,98.29188376776767,87.09077414362072,63.2708187917002,24.657527158987655,50.22896412498438,54.96214652300064,74.42859162407048,50.47874411728648,59.20116323953369,78.35262113614621,68.11911573901192,73.83143271778276
miyun_aq,32.71717596074454,62.69113421627605,73.60879256528577,2.849674692582468,17.426346459984213,39.88500108037259,32.9424155856198,58.45159277555216,54.287686784113724,55.07958792907605,106.38656436215304,78.57776093933846,69.87667717996466,71.38947720624539,74.67613213755153,83.05905613212408,85.74093363703332,117.11926920355783
yanqin_aq,65.52576149020717,58.456502599962874,0.47498245528607336,75.99574163464838,56.45742819812559,98.96588295940371,102.13893786156733,94.76634939346253,71.51454427309928,32.631475519595035,58.33167724390944,64.77317498704434,83.44218604779716,60.123398110486065,68.83153956726876,87.9031118469056,77.93117015522418,82.91966143407313
miyunshuiku_aq,48.40238468689683,77.55688863381236,79.87920479470083,14.079608273584602,28.717219874355834,24.561965977850488,40.62071180440448,73.62073939163655,70.03806089650064,66.7120410296204,118.79401594368966,93.42019595401936,85.69908372561764,86.13541012153377,89.92013410579592,98.84418254756335,101.13978555707529,131.31771836656432
