from_aq,to_aq,area,level
yongledian_aq,zhiwuyuan_aq,8.0,2
yongledian_aq,beibuxinqu_aq,8.0,2
yongledian_aq,donggaocun_aq,2.0,2
yongledian_aq,shunyi_aq,8.0,2
yongledian_aq,pinggu_aq,2.0,2
yongledian_aq,pingchang_aq,8.0,2
yongledian_aq,dingling_aq,8.0,2
yongledian_aq,huairou_aq,1.0,2
yongledian_aq,badaling_aq,8.0,2
yongledian_aq,miyun_aq,1.0,2
yongledian_aq,yanqin_aq,8.0,3
yongledian_aq,miyunshuiku_aq,1.0,2
daxing_aq,yufa_aq,5.0,1
daxing_aq,liulihe_aq,6.0,2
daxing_aq,yongledian_aq,3.0,2
daxing_aq,daxing_aq,0.0,0
daxing_aq,fangshan_aq,7.0,1
daxing_aq,yizhuang_aq,2.0,1
daxing_aq,yungang_aq,8.0,1
daxing_aq,nansanhuan_aq,8.0,1
daxing_aq,fengtaihuayuan_aq,8.0,1
daxing_aq,yongdingmennei_aq,1.0,1
daxing_aq,wanshouxigong_aq,8.0,1
daxing_aq,tiantan_aq,1.0,1
daxing_aq,tongzhou_aq,2.0,1
daxing_aq,qianmen_aq,1.0,1
daxing_aq,gucheng_aq,8.0,1
daxing_aq,guanyuan_aq,8.0,1
daxing_aq,dongsi_aq,1.0,1
daxing_aq,mentougou_aq,8.0,2
daxing_aq,nongzhanguan_aq,1.0,1
daxing_aq,dongsihuan_aq,1.0,1
daxing_aq,xizhimenbei_aq,1.0,1
daxing_aq,aotizhongxin_aq,1.0,1
daxing_aq,wanliu_aq,8.0,2
daxing_aq,zhiwuyuan_aq,8.0,2
daxing_aq,beibuxinqu_aq,8.0,2
daxing_aq,donggaocun_aq,2.0,2
daxing_aq,shunyi_aq,2.0,2
daxing_aq,pinggu_aq,2.0,2
daxing_aq,pingchang_aq,8.0,2
daxing_aq,dingling_aq,8.0,2
daxing_aq,huairou_aq,1.0,2
daxing_aq,badaling_aq,8.0,2
daxing_aq,miyun_aq,2.0,2
daxing_aq,yanqin_aq,8.0,2
daxing_aq,miyunshuiku_aq,2.0,2
fangshan_aq,yufa_aq,4.0,1
fangshan_aq,liulihe_aq,6.0,1
fangshan_aq,yongledian_aq,3.0,2
fangshan_aq,daxing_aq,3.0,1
fangshan_aq,fangshan_aq,0.0,0
fangshan_aq,yizhuang_aq,3.0,2
fangshan_aq,yungang_aq,1.0,1
fangshan_aq,nansanhuan_aq,2.0,1
fangshan_aq,fengtaihuayuan_aq,2.0,1
fangshan_aq,yongdingmennei_aq,2.0,1
fangshan_aq,wanshouxigong_aq,2.0,1
fangshan_aq,tiantan_aq,2.0,1
fangshan_aq,tongzhou_aq,3.0,2
fangshan_aq,qianmen_aq,2.0,1
fangshan_aq,gucheng_aq,1.0,1
fangshan_aq,guanyuan_aq,2.0,1
fangshan_aq,dongsi_aq,2.0,2
fangshan_aq,mentougou_aq,1.0,1
fangshan_aq,nongzhanguan_aq,2.0,2
fangshan_aq,dongsihuan_aq,2.0,2
fangshan_aq,xizhimenbei_aq,2.0,1
fangshan_aq,aotizhongxin_aq,2.0,2
fangshan_aq,wanliu_aq,2.0,2
fangshan_aq,zhiwuyuan_aq,1.0,1
fangshan_aq,beibuxinqu_aq,1.0,2
fangshan_aq,donggaocun_aq,2.0,2
fangshan_aq,shunyi_aq,2.0,2
fangshan_aq,pinggu_aq,2.0,2
fangshan_aq,pingchang_aq,1.0,2
fangshan_aq,dingling_aq,1.0,2
fangshan_aq,huairou_aq,2.0,2
fangshan_aq,badaling_aq,1.0,2
fangshan_aq,miyun_aq,2.0,2
fangshan_aq,yanqin_aq,1.0,2
fangshan_aq,miyunshuiku_aq,2.0,3
yizhuang_aq,yufa_aq,6.0,2
yizhuang_aq,liulihe_aq,6.0,2
yizhuang_aq,yongledian_aq,3.0,1
yizhuang_aq,daxing_aq,6.0,1
yizhuang_aq,fangshan_aq,7.0,2
yizhuang_aq,yizhuang_aq,0.0,0
yizhuang_aq,yungang_aq,7.0,2
yizhuang_aq,nansanhuan_aq,8.0,1
yizhuang_aq,fengtaihuayuan_aq,7.0,1
yizhuang_aq,yongdingmennei_aq,8.0,1
yizhuang_aq,wanshouxigong_aq,8.0,1
yizhuang_aq,tiantan_aq,8.0,1
yizhuang_aq,tongzhou_aq,2.0,1
yizhuang_aq,qianmen_aq,8.0,1
yizhuang_aq,gucheng_aq,8.0,2
yizhuang_aq,guanyuan_aq,8.0,1
yizhuang_aq,dongsi_aq,8.0,1
yizhuang_aq,mentougou_aq,8.0,2
yizhuang_aq,nongzhanguan_aq,8.0,1
yizhuang_aq,dongsihuan_aq,1.0,1
yizhuang_aq,xizhimenbei_aq,8.0,1
yizhuang_aq,aotizhongxin_aq,8.0,1
yizhuang_aq,wanliu_aq,8.0,1
yizhuang_aq,zhiwuyuan_aq,8.0,2
yizhuang_aq,beibuxinqu_aq,8.0,2
yizhuang_aq,donggaocun_aq,2.0,2
yizhuang_aq,shunyi_aq,1.0,2
yizhuang_aq,pinggu_aq,2.0,2
yizhuang_aq,pingchang_aq,8.0,2
yizhuang_aq,dingling_aq,8.0,2
yizhuang_aq,huairou_aq,1.0,2
yizhuang_aq,badaling_aq,8.0,2
yizhuang_aq,miyun_aq,2.0,2
yizhuang_aq,yanqin_aq,8.0,2
yizhuang_aq,miyunshuiku_aq,2.0,2
yungang_aq,yufa_aq,4.0,2
yungang_aq,liulihe_aq,6.0,1
yungang_aq,yongledian_aq,3.0,2
yungang_aq,daxing_aq,4.0,1
yungang_aq,fangshan_aq,5.0,1
yungang_aq,yizhuang_aq,3.0,2
yungang_aq,yungang_aq,0.0,0
yungang_aq,nansanhuan_aq,3.0,1
yungang_aq,fengtaihuayuan_aq,3.0,1
yungang_aq,yongdingmennei_aq,3.0,1
yungang_aq,wanshouxigong_aq,3.0,1
yungang_aq,tiantan_aq,3.0,1
yungang_aq,tongzhou_aq,3.0,2
yungang_aq,qianmen_aq,3.0,1
yungang_aq,gucheng_aq,1.0,1
yungang_aq,guanyuan_aq,2.0,1
yungang_aq,dongsi_aq,2.0,1
yungang_aq,mentougou_aq,8.0,1
yungang_aq,nongzhanguan_aq,2.0,1
yungang_aq,dongsihuan_aq,2.0,2
yungang_aq,xizhimenbei_aq,2.0,1
yungang_aq,aotizhongxin_aq,2.0,1
yungang_aq,wanliu_aq,2.0,1
yungang_aq,zhiwuyuan_aq,1.0,1
yungang_aq,beibuxinqu_aq,1.0,1
yungang_aq,donggaocun_aq,3.0,2
yungang_aq,shunyi_aq,2.0,2
yungang_aq,pinggu_aq,2.0,2
yungang_aq,pingchang_aq,1.0,2
yungang_aq,dingling_aq,1.0,2
yungang_aq,huairou_aq,2.0,2
yungang_aq,badaling_aq,8.0,2
yungang_aq,miyun_aq,2.0,2
yungang_aq,yanqin_aq,8.0,2
yungang_aq,miyunshuiku_aq,2.0,2
nansanhuan_aq,yufa_aq,5.0,2
nansanhuan_aq,liulihe_aq,6.0,2
nansanhuan_aq,yongledian_aq,4.0,2
nansanhuan_aq,daxing_aq,4.0,1
nansanhuan_aq,fangshan_aq,6.0,1
nansanhuan_aq,yizhuang_aq,4.0,1
nansanhuan_aq,yungang_aq,7.0,1
nansanhuan_aq,nansanhuan_aq,0.0,0
nansanhuan_aq,fengtaihuayuan_aq,7.0,1
nansanhuan_aq,yongdingmennei_aq,2.0,1
nansanhuan_aq,wanshouxigong_aq,8.0,1
nansanhuan_aq,tiantan_aq,2.0,1
nansanhuan_aq,tongzhou_aq,3.0,1
nansanhuan_aq,qianmen_aq,2.0,1
nansanhuan_aq,gucheng_aq,7.0,1
nansanhuan_aq,guanyuan_aq,8.0,1
nansanhuan_aq,dongsi_aq,2.0,1
nansanhuan_aq,mentougou_aq,7.0,1
nansanhuan_aq,nongzhanguan_aq,2.0,1
nansanhuan_aq,dongsihuan_aq,2.0,1
nansanhuan_aq,xizhimenbei_aq,1.0,1
nansanhuan_aq,aotizhongxin_aq,1.0,1
nansanhuan_aq,wanliu_aq,8.0,1
nansanhuan_aq,zhiwuyuan_aq,8.0,1
nansanhuan_aq,beibuxinqu_aq,8.0,2
nansanhuan_aq,donggaocun_aq,2.0,2
nansanhuan_aq,shunyi_aq,2.0,2
nansanhuan_aq,pinggu_aq,2.0,2
nansanhuan_aq,pingchang_aq,8.0,2
nansanhuan_aq,dingling_aq,8.0,2
nansanhuan_aq,huairou_aq,2.0,2
nansanhuan_aq,badaling_aq,8.0,2
nansanhuan_aq,miyun_aq,2.0,2
nansanhuan_aq,yanqin_aq,8.0,2
nansanhuan_aq,miyunshuiku_aq,2.0,2
fengtaihuayuan_aq,yufa_aq,5.0,2
fengtaihuayuan_aq,liulihe_aq,6.0,2
fengtaihuayuan_aq,yongledian_aq,3.0,2
fengtaihuayuan_aq,daxing_aq,4.0,1
fengtaihuayuan_aq,fangshan_aq,6.0,1
fengtaihuayuan_aq,yizhuang_aq,3.0,1
fengtaihuayuan_aq,yungang_aq,7.0,1
fengtaihuayuan_aq,nansanhuan_aq,3.0,1
fengtaihuayuan_aq,fengtaihuayuan_aq,0.0,0
fengtaihuayuan_aq,yongdingmennei_aq,3.0,1
fengtaihuayuan_aq,wanshouxigong_aq,3.0,1
fengtaihuayuan_aq,tiantan_aq,3.0,1
fengtaihuayuan_aq,tongzhou_aq,3.0,2
fengtaihuayuan_aq,qianmen_aq,3.0,1
fengtaihuayuan_aq,gucheng_aq,8.0,1
fengtaihuayuan_aq,guanyuan_aq,2.0,1
fengtaihuayuan_aq,dongsi_aq,2.0,1
fengtaihuayuan_aq,mentougou_aq,8.0,1
fengtaihuayuan_aq,nongzhanguan_aq,2.0,1
fengtaihuayuan_aq,dongsihuan_aq,2.0,1
fengtaihuayuan_aq,xizhimenbei_aq,2.0,1
fengtaihuayuan_aq,aotizhongxin_aq,2.0,1
fengtaihuayuan_aq,wanliu_aq,1.0,1
fengtaihuayuan_aq,zhiwuyuan_aq,8.0,1
fengtaihuayuan_aq,beibuxinqu_aq,8.0,1
fengtaihuayuan_aq,donggaocun_aq,3.0,2
fengtaihuayuan_aq,shunyi_aq,2.0,2
fengtaihuayuan_aq,pinggu_aq,2.0,2
fengtaihuayuan_aq,pingchang_aq,1.0,2
fengtaihuayuan_aq,dingling_aq,1.0,2
fengtaihuayuan_aq,huairou_aq,2.0,2
fengtaihuayuan_aq,badaling_aq,8.0,2
fengtaihuayuan_aq,miyun_aq,2.0,2
fengtaihuayuan_aq,yanqin_aq,8.0,2
fengtaihuayuan_aq,miyunshuiku_aq,2.0,2
yongdingmennei_aq,yufa_aq,5.0,2
yongdingmennei_aq,liulihe_aq,6.0,2
yongdingmennei_aq,yongledian_aq,4.0,2
yongdingmennei_aq,daxing_aq,5.0,1
yongdingmennei_aq,fangshan_aq,6.0,1
yongdingmennei_aq,yizhuang_aq,4.0,1
yongdingmennei_aq,yungang_aq,7.0,1
yongdingmennei_aq,nansanhuan_aq,6.0,1
yongdingmennei_aq,fengtaihuayuan_aq,7.0,1
yongdingmennei_aq,yongdingmennei_aq,0.0,0
yongdingmennei_aq,wanshouxigong_aq,7.0,1
yongdingmennei_aq,tiantan_aq,2.0,1
yongdingmennei_aq,tongzhou_aq,3.0,1
yongdingmennei_aq,qianmen_aq,1.0,1
yongdingmennei_aq,gucheng_aq,7.0,1
yongdingmennei_aq,guanyuan_aq,8.0,1
yongdingmennei_aq,dongsi_aq,1.0,1
yongdingmennei_aq,mentougou_aq,7.0,1
yongdingmennei_aq,nongzhanguan_aq,2.0,1
yongdingmennei_aq,dongsihuan_aq,2.0,1
yongdingmennei_aq,xizhimenbei_aq,8.0,1
yongdingmennei_aq,aotizhongxin_aq,1.0,1
yongdingmennei_aq,wanliu_aq,8.0,1
yongdingmennei_aq,zhiwuyuan_aq,8.0,1
yongdingmennei_aq,beibuxinqu_aq,8.0,2
yongdingmennei_aq,donggaocun_aq,3.0,2
yongdingmennei_aq,shunyi_aq,2.0,2
yongdingmennei_aq,pinggu_aq,2.0,2
yongdingmennei_aq,pingchang_aq,8.0,2
yongdingmennei_aq,dingling_aq,8.0,2
yongdingmennei_aq,huairou_aq,1.0,2
yongdingmennei_aq,badaling_aq,8.0,2
yongdingmennei_aq,miyun_aq,2.0,2
yongdingmennei_aq,yanqin_aq,8.0,2
yongdingmennei_aq,miyunshuiku_aq,2.0,2
wanshouxigong_aq,yufa_aq,5.0,2
wanshouxigong_aq,liulihe_aq,6.0,2
wanshouxigong_aq,yongledian_aq,4.0,2
wanshouxigong_aq,daxing_aq,4.0,1
wanshouxigong_aq,fangshan_aq,6.0,1
wanshouxigong_aq,yizhuang_aq,4.0,1
wanshouxigong_aq,yungang_aq,7.0,1
wanshouxigong_aq,nansanhuan_aq,4.0,1
wanshouxigong_aq,fengtaihuayuan_aq,7.0,1
wanshouxigong_aq,yongdingmennei_aq,3.0,1
wanshouxigong_aq,wanshouxigong_aq,0.0,0
wanshouxigong_aq,tiantan_aq,3.0,1
wanshouxigong_aq,tongzhou_aq,3.0,1
wanshouxigong_aq,qianmen_aq,2.0,1
wanshouxigong_aq,gucheng_aq,7.0,1
wanshouxigong_aq,guanyuan_aq,1.0,1
wanshouxigong_aq,dongsi_aq,2.0,1
wanshouxigong_aq,mentougou_aq,7.0,1
wanshouxigong_aq,nongzhanguan_aq,2.0,1
wanshouxigong_aq,dongsihuan_aq,2.0,1
wanshouxigong_aq,xizhimenbei_aq,1.0,1
wanshouxigong_aq,aotizhongxin_aq,1.0,1
wanshouxigong_aq,wanliu_aq,8.0,1
wanshouxigong_aq,zhiwuyuan_aq,8.0,1
wanshouxigong_aq,beibuxinqu_aq,8.0,1
wanshouxigong_aq,donggaocun_aq,3.0,2
wanshouxigong_aq,shunyi_aq,2.0,2
wanshouxigong_aq,pinggu_aq,2.0,2
wanshouxigong_aq,pingchang_aq,8.0,2
wanshouxigong_aq,dingling_aq,8.0,2
wanshouxigong_aq,huairou_aq,2.0,2
wanshouxigong_aq,badaling_aq,8.0,2
wanshouxigong_aq,miyun_aq,2.0,2
wanshouxigong_aq,yanqin_aq,8.0,2
wanshouxigong_aq,miyunshuiku_aq,2.0,2
tiantan_aq,yufa_aq,5.0,2
tiantan_aq,liulihe_aq,6.0,2
tiantan_aq,yongledian_aq,4.0,2
tiantan_aq,daxing_aq,5.0,1
tiantan_aq,fangshan_aq,6.0,1
tiantan_aq,yizhuang_aq,4.0,1
tiantan_aq,yungang_aq,7.0,1
tiantan_aq,nansanhuan_aq,6.0,1
tiantan_aq,fengtaihuayuan_aq,7.0,1
tiantan_aq,yongdingmennei_aq,6.0,1
tiantan_aq,wanshouxigong_aq,7.0,1
tiantan_aq,tiantan_aq,0.0,0
tiantan_aq,tongzhou_aq,3.0,1
tiantan_aq,qianmen_aq,8.0,1
tiantan_aq,gucheng_aq,7.0,1
tiantan_aq,guanyuan_aq,8.0,1
tiantan_aq,dongsi_aq,1.0,1
tiantan_aq,mentougou_aq,7.0,1
tiantan_aq,nongzhanguan_aq,2.0,1
tiantan_aq,dongsihuan_aq,2.0,1
tiantan_aq,xizhimenbei_aq,8.0,1
tiantan_aq,aotizhongxin_aq,1.0,1
tiantan_aq,wanliu_aq,8.0,1
tiantan_aq,zhiwuyuan_aq,8.0,1
tiantan_aq,beibuxinqu_aq,8.0,2
tiantan_aq,donggaocun_aq,3.0,2
tiantan_aq,shunyi_aq,2.0,2
tiantan_aq,pinggu_aq,2.0,2
tiantan_aq,pingchang_aq,8.0,2
tiantan_aq,dingling_aq,8.0,2
tiantan_aq,huairou_aq,1.0,2
tiantan_aq,badaling_aq,8.0,2
tiantan_aq,miyun_aq,2.0,2
tiantan_aq,yanqin_aq,8.0,2
tiantan_aq,miyunshuiku_aq,2.0,2
tongzhou_aq,yufa_aq,6.0,2
tongzhou_aq,liulihe_aq,6.0,2
tongzhou_aq,yongledian_aq,4.0,1
tongzhou_aq,daxing_aq,6.0,1
tongzhou_aq,fangshan_aq,7.0,2
tongzhou_aq,yizhuang_aq,6.0,1
tongzhou_aq,yungang_aq,7.0,2
tongzhou_aq,nansanhuan_aq,7.0,1
tongzhou_aq,fengtaihuayuan_aq,7.0,2
tongzhou_aq,yongdingmennei_aq,7.0,1
tongzhou_aq,wanshouxigong_aq,7.0,1
tongzhou_aq,tiantan_aq,7.0,1
tongzhou_aq,tongzhou_aq,0.0,0
tongzhou_aq,qianmen_aq,7.0,1
tongzhou_aq,gucheng_aq,7.0,2
tongzhou_aq,guanyuan_aq,7.0,1
tongzhou_aq,dongsi_aq,7.0,1
tongzhou_aq,mentougou_aq,7.0,2
tongzhou_aq,nongzhanguan_aq,7.0,1
tongzhou_aq,dongsihuan_aq,7.0,1
tongzhou_aq,xizhimenbei_aq,7.0,1
tongzhou_aq,aotizhongxin_aq,8.0,1
tongzhou_aq,wanliu_aq,7.0,2
tongzhou_aq,zhiwuyuan_aq,7.0,2
tongzhou_aq,beibuxinqu_aq,8.0,2
tongzhou_aq,donggaocun_aq,2.0,2
tongzhou_aq,shunyi_aq,1.0,1
tongzhou_aq,pinggu_aq,2.0,2
tongzhou_aq,pingchang_aq,8.0,2
tongzhou_aq,dingling_aq,8.0,2
tongzhou_aq,huairou_aq,1.0,2
tongzhou_aq,badaling_aq,8.0,2
tongzhou_aq,miyun_aq,1.0,2
tongzhou_aq,yanqin_aq,8.0,2
tongzhou_aq,miyunshuiku_aq,1.0,2
qianmen_aq,yufa_aq,5.0,2
qianmen_aq,liulihe_aq,6.0,2
qianmen_aq,yongledian_aq,4.0,2
qianmen_aq,daxing_aq,5.0,1
qianmen_aq,fangshan_aq,6.0,1
qianmen_aq,yizhuang_aq,4.0,1
qianmen_aq,yungang_aq,7.0,1
qianmen_aq,nansanhuan_aq,6.0,1
qianmen_aq,fengtaihuayuan_aq,7.0,1
qianmen_aq,yongdingmennei_aq,5.0,1
qianmen_aq,wanshouxigong_aq,6.0,1
qianmen_aq,tiantan_aq,4.0,1
qianmen_aq,tongzhou_aq,3.0,1
qianmen_aq,qianmen_aq,0.0,0
qianmen_aq,gucheng_aq,7.0,1
qianmen_aq,guanyuan_aq,8.0,1
qianmen_aq,dongsi_aq,2.0,1
qianmen_aq,mentougou_aq,7.0,1
qianmen_aq,nongzhanguan_aq,2.0,1
qianmen_aq,dongsihuan_aq,2.0,1
qianmen_aq,xizhimenbei_aq,8.0,1
qianmen_aq,aotizhongxin_aq,1.0,1
qianmen_aq,wanliu_aq,8.0,1
qianmen_aq,zhiwuyuan_aq,8.0,1
qianmen_aq,beibuxinqu_aq,8.0,1
qianmen_aq,donggaocun_aq,3.0,2
qianmen_aq,shunyi_aq,2.0,2
qianmen_aq,pinggu_aq,2.0,2
qianmen_aq,pingchang_aq,8.0,2
qianmen_aq,dingling_aq,8.0,2
qianmen_aq,huairou_aq,2.0,2
qianmen_aq,badaling_aq,8.0,2
qianmen_aq,miyun_aq,2.0,2
qianmen_aq,yanqin_aq,8.0,2
qianmen_aq,miyunshuiku_aq,2.0,2
gucheng_aq,yufa_aq,4.0,2
gucheng_aq,liulihe_aq,6.0,2
gucheng_aq,yongledian_aq,4.0,2
gucheng_aq,daxing_aq,4.0,1
gucheng_aq,fangshan_aq,5.0,1
gucheng_aq,yizhuang_aq,4.0,2
gucheng_aq,yungang_aq,5.0,1
gucheng_aq,nansanhuan_aq,3.0,1
gucheng_aq,fengtaihuayuan_aq,4.0,1
gucheng_aq,yongdingmennei_aq,3.0,1
gucheng_aq,wanshouxigong_aq,3.0,1
gucheng_aq,tiantan_aq,3.0,1
gucheng_aq,tongzhou_aq,3.0,2
gucheng_aq,qianmen_aq,3.0,1
gucheng_aq,gucheng_aq,0.0,0
gucheng_aq,guanyuan_aq,3.0,1
gucheng_aq,dongsi_aq,3.0,1
gucheng_aq,mentougou_aq,7.0,1
gucheng_aq,nongzhanguan_aq,3.0,1
gucheng_aq,dongsihuan_aq,3.0,1
gucheng_aq,xizhimenbei_aq,3.0,1
gucheng_aq,aotizhongxin_aq,2.0,1
gucheng_aq,wanliu_aq,2.0,1
gucheng_aq,zhiwuyuan_aq,1.0,1
gucheng_aq,beibuxinqu_aq,1.0,1
gucheng_aq,donggaocun_aq,3.0,2
gucheng_aq,shunyi_aq,2.0,2
gucheng_aq,pinggu_aq,3.0,2
gucheng_aq,pingchang_aq,1.0,2
gucheng_aq,dingling_aq,1.0,2
gucheng_aq,huairou_aq,2.0,2
gucheng_aq,badaling_aq,8.0,2
gucheng_aq,miyun_aq,2.0,2
gucheng_aq,yanqin_aq,8.0,2
gucheng_aq,miyunshuiku_aq,2.0,2
guanyuan_aq,yufa_aq,5.0,2
guanyuan_aq,liulihe_aq,6.0,2
guanyuan_aq,yongledian_aq,4.0,2
guanyuan_aq,daxing_aq,4.0,1
guanyuan_aq,fangshan_aq,6.0,1
guanyuan_aq,yizhuang_aq,4.0,1
guanyuan_aq,yungang_aq,6.0,1
guanyuan_aq,nansanhuan_aq,4.0,1
guanyuan_aq,fengtaihuayuan_aq,6.0,1
guanyuan_aq,yongdingmennei_aq,4.0,1
guanyuan_aq,wanshouxigong_aq,5.0,1
guanyuan_aq,tiantan_aq,4.0,1
guanyuan_aq,tongzhou_aq,3.0,1
guanyuan_aq,qianmen_aq,4.0,1
guanyuan_aq,gucheng_aq,7.0,1
guanyuan_aq,guanyuan_aq,0.0,0
guanyuan_aq,dongsi_aq,3.0,1
guanyuan_aq,mentougou_aq,7.0,1
guanyuan_aq,nongzhanguan_aq,3.0,1
guanyuan_aq,dongsihuan_aq,3.0,1
guanyuan_aq,xizhimenbei_aq,1.0,1
guanyuan_aq,aotizhongxin_aq,2.0,1
guanyuan_aq,wanliu_aq,8.0,1
guanyuan_aq,zhiwuyuan_aq,8.0,1
guanyuan_aq,beibuxinqu_aq,8.0,1
guanyuan_aq,donggaocun_aq,3.0,2
guanyuan_aq,shunyi_aq,2.0,2
guanyuan_aq,pinggu_aq,3.0,2
guanyuan_aq,pingchang_aq,8.0,2
guanyuan_aq,dingling_aq,8.0,2
guanyuan_aq,huairou_aq,2.0,2
guanyuan_aq,badaling_aq,8.0,2
guanyuan_aq,miyun_aq,2.0,2
guanyuan_aq,yanqin_aq,8.0,2
guanyuan_aq,miyunshuiku_aq,2.0,2
dongsi_aq,yufa_aq,5.0,2
dongsi_aq,liulihe_aq,6.0,2
dongsi_aq,yongledian_aq,4.0,2
dongsi_aq,daxing_aq,5.0,1
dongsi_aq,fangshan_aq,6.0,2
dongsi_aq,yizhuang_aq,4.0,1
dongsi_aq,yungang_aq,6.0,1
dongsi_aq,nansanhuan_aq,6.0,1
dongsi_aq,fengtaihuayuan_aq,6.0,1
dongsi_aq,yongdingmennei_aq,5.0,1
dongsi_aq,wanshouxigong_aq,6.0,1
dongsi_aq,tiantan_aq,5.0,1
dongsi_aq,tongzhou_aq,3.0,1
dongsi_aq,qianmen_aq,6.0,1
dongsi_aq,gucheng_aq,7.0,1
dongsi_aq,guanyuan_aq,7.0,1
dongsi_aq,dongsi_aq,0.0,0
dongsi_aq,mentougou_aq,7.0,1
dongsi_aq,nongzhanguan_aq,3.0,1
dongsi_aq,dongsihuan_aq,3.0,1
dongsi_aq,xizhimenbei_aq,8.0,1
dongsi_aq,aotizhongxin_aq,8.0,1
dongsi_aq,wanliu_aq,8.0,1
dongsi_aq,zhiwuyuan_aq,8.0,1
dongsi_aq,beibuxinqu_aq,8.0,1
dongsi_aq,donggaocun_aq,3.0,2
dongsi_aq,shunyi_aq,2.0,1
dongsi_aq,pinggu_aq,3.0,2
dongsi_aq,pingchang_aq,8.0,2
dongsi_aq,dingling_aq,8.0,2
