,Unnamed: 0,station_id,utc_time,PM2.5,PM10,NO2,CO,O3,SO2
31,31,aotizhongxin_aq,2018/2/1 23:00,5,19,12,0.2,67,2
32,32,aotizhongxin_aq,2018/2/2 0:00,6,21,11,0.2,68,5
33,33,aotizhongxin_aq,2018/2/2 1:00,6,25,15,0.2,63,4
34,34,aotizhongxin_aq,2018/2/2 2:00,7,28,13,0.3,66,5
35,35,aotizhongxin_aq,2018/2/2 3:00,7,24,8,0.3,73,4
36,36,aotizhongxin_aq,2018/2/2 4:00,7,28,6,0.3,76,4
37,37,aotizhongxin_aq,2018/2/2 5:00,13,29,6,0.2,77,3
38,38,aotizhongxin_aq,2018/2/2 6:00,11,37,6,0.2,77,3
39,39,aotizhongxin_aq,2018/2/2 7:00,7,37,5,0.2,79,3
40,40,aotizhongxin_aq,2018/2/2 8:00,5,34,5,0.2,80,3
41,41,aotizhongxin_aq,2018/2/2 9:00,9,33,8,0.2,77,3
42,42,aotizhongxin_aq,2018/2/2 10:00,8,36,13,0.2,71,3
43,43,aotizhongxin_aq,2018/2/2 11:00,11,33,17,0.2,66,4
44,44,aotizhongxin_aq,2018/2/2 12:00,12,35,26,0.3,55,4
45,45,aotizhongxin_aq,2018/2/2 13:00,13,30,18,0.4,63,9
46,46,aotizhongxin_aq,2018/2/2 14:00,12,22,18,0.3,62,7
47,47,aotizhongxin_aq,2018/2/2 15:00,13,21,18,0.5,61,15
48,48,aotizhongxin_aq,2018/2/2 16:00,12,23,24,0.5,53,11
49,49,aotizhongxin_aq,2018/2/2 17:00,13,21,45,0.5,28,9
50,50,aotizhongxin_aq,2018/2/2 18:00,9,21,55,0.4,18,7
51,51,aotizhongxin_aq,2018/2/2 19:00,11,23,53,0.4,18,7
52,52,aotizhongxin_aq,2018/2/2 20:00,10,19,46,0.5,26,8
53,53,aotizhongxin_aq,2018/2/2 21:00,8,23,40,0.5,29,8
54,54,aotizhongxin_aq,2018/2/2 22:00,7,22,34,0.5,39,10
55,55,aotizhongxin_aq,2018/2/2 23:00,10,21,33,0.4,39,7
56,56,aotizhongxin_aq,2018/2/3 0:00,8,22,41,0.4,31,6
57,57,aotizhongxin_aq,2018/2/3 1:00,8,18,26,0.4,49,4
58,58,aotizhongxin_aq,2018/2/3 2:00,9,15,29,0.4,48,4
59,59,aotizhongxin_aq,2018/2/3 3:00,11,16,21,0.5,58,5
60,60,aotizhongxin_aq,2018/2/3 4:00,5,16,15,0.4,64,5
61,61,aotizhongxin_aq,2018/2/3 5:00,5,13,7,0.3,74,3
62,62,aotizhongxin_aq,2018/2/3 6:00,4,13,7,0.3,75,4
63,63,aotizhongxin_aq,2018/2/3 7:00,8,21,7,0.3,75,3
64,64,aotizhongxin_aq,2018/2/3 8:00,10,24,7,0.2,75,2
65,65,aotizhongxin_aq,2018/2/3 9:00,6,22,8,0.2,75,2
66,66,aotizhongxin_aq,2018/2/3 10:00,7,19,12,0.3,72,2
67,67,aotizhongxin_aq,2018/2/3 11:00,4,20,13,0.3,70,3
68,68,aotizhongxin_aq,2018/2/3 12:00,7,20,14,0.2,70,2
69,69,aotizhongxin_aq,2018/2/3 13:00,4,15,12,0.2,70,2
70,70,aotizhongxin_aq,2018/2/3 14:00,5,15,11,0.2,69,2
71,71,aotizhongxin_aq,2018/2/3 15:00,4,11,9,0.2,71,3
72,72,aotizhongxin_aq,2018/2/3 16:00,5,11,15,0.2,64,2
73,73,aotizhongxin_aq,2018/2/3 17:00,5,11,22,0.2,55,2
74,74,aotizhongxin_aq,2018/2/3 18:00,7,12,36,0.3,38,5
75,75,aotizhongxin_aq,2018/2/3 19:00,7,14,48,0.5,24,9
76,76,aotizhongxin_aq,2018/2/3 20:00,9,13,69,0.5,6,9
77,77,aotizhongxin_aq,2018/2/3 21:00,9,14,55,0.4,16,7
78,78,aotizhongxin_aq,2018/2/3 22:00,6,15,48,0.4,21,6
79,79,aotizhongxin_aq,2018/2/3 23:00,9,15,48,0.4,21,5
80,80,aotizhongxin_aq,2018/2/4 0:00,19,30,63,0.6,7,8
81,81,aotizhongxin_aq,2018/2/4 1:00,23,36,49,0.6,24,8
82,82,aotizhongxin_aq,2018/2/4 2:00,28,37,41,0.7,36,9
83,83,aotizhongxin_aq,2018/2/4 3:00,25,37,31,0.6,50,11
84,84,aotizhongxin_aq,2018/2/4 4:00,32,42,27,0.6,59,23
85,85,aotizhongxin_aq,2018/2/4 5:00,30,40,28,0.6,61,30
86,86,aotizhongxin_aq,2018/2/4 6:00,30,48,25,0.6,68,25
87,87,aotizhongxin_aq,2018/2/4 7:00,30,50,23,0.5,71,14
88,88,aotizhongxin_aq,2018/2/4 8:00,28,51,23,0.5,70,8
89,89,aotizhongxin_aq,2018/2/4 9:00,25,51,27,0.4,66,8
90,90,aotizhongxin_aq,2018/2/4 10:00,26,50,36,0.5,57,6
91,91,aotizhongxin_aq,2018/2/4 11:00,28,63,67,0.7,20,7
92,92,aotizhongxin_aq,2018/2/4 12:00,23,53,50,0.7,28,8
93,93,aotizhongxin_aq,2018/2/4 13:00,20,40,52,0.6,26,7
94,94,aotizhongxin_aq,2018/2/4 14:00,19,37,49,0.6,30,7
95,95,aotizhongxin_aq,2018/2/4 15:00,8,29,13,0.3,70,4
96,96,aotizhongxin_aq,2018/2/4 16:00,5,24,13,0.2,69,2
97,97,aotizhongxin_aq,2018/2/4 17:00,3,18,12,0.2,70,2
98,98,aotizhongxin_aq,2018/2/4 18:00,3,17,17,0.2,63,3
99,99,aotizhongxin_aq,2018/2/4 19:00,4,18,13,0.2,68,3
100,100,aotizhongxin_aq,2018/2/4 20:00,4,19,16,0.2,,2
101,101,aotizhongxin_aq,2018/2/4 21:00,6,16,16,0.2,56,3
102,102,aotizhongxin_aq,2018/2/4 22:00,7,13,17,0.2,57,3
103,103,aotizhongxin_aq,2018/2/4 23:00,7,17,28,0.3,45,3
104,104,aotizhongxin_aq,2018/2/5 0:00,5,19,29,0.3,45,2
105,105,aotizhongxin_aq,2018/2/5 1:00,5,18,20,0.3,57,2
106,106,aotizhongxin_aq,2018/2/5 2:00,4,16,9,0.3,72,2
107,107,aotizhongxin_aq,2018/2/5 3:00,7,20,6,0.3,74,3
108,108,aotizhongxin_aq,2018/2/5 4:00,9,18,8,0.4,74,4
109,109,aotizhongxin_aq,2018/2/5 5:00,8,16,7,0.4,76,4
110,110,aotizhongxin_aq,2018/2/5 6:00,7,10,5,0.3,79,2
111,111,aotizhongxin_aq,2018/2/5 7:00,8,16,6,0.3,80,2
112,112,aotizhongxin_aq,2018/2/5 8:00,8,18,6,0.3,79,3
113,113,aotizhongxin_aq,2018/2/5 9:00,8,21,8,0.3,76,2
114,114,aotizhongxin_aq,2018/2/5 10:00,7,19,11,0.3,72,2
115,115,aotizhongxin_aq,2018/2/5 11:00,5,18,13,0.3,71,2
116,116,aotizhongxin_aq,2018/2/5 12:00,9,19,21,0.3,61,2
117,117,aotizhongxin_aq,2018/2/5 13:00,10,22,45,0.4,33,2
118,118,aotizhongxin_aq,2018/2/5 14:00,8,18,30,0.3,48,2
119,119,aotizhongxin_aq,2018/2/5 15:00,5,15,26,0.3,51,2
120,120,aotizhongxin_aq,2018/2/5 16:00,5,13,30,0.3,46,2
121,121,aotizhongxin_aq,2018/2/5 17:00,7,12,29,0.3,46,2
122,122,aotizhongxin_aq,2018/2/5 18:00,7,14,48,0.3,23,2
123,123,aotizhongxin_aq,2018/2/5 19:00,11,15,73,0.4,2,3
124,124,aotizhongxin_aq,2018/2/5 20:00,7,16,74,0.4,2,4
125,125,aotizhongxin_aq,2018/2/5 21:00,7,11,39,0.5,31,7
126,126,aotizhongxin_aq,2018/2/5 22:00,7,12,42,0.6,25,8
127,127,aotizhongxin_aq,2018/2/5 23:00,11,19,62,0.6,3,6
128,128,aotizhongxin_aq,2018/2/6 0:00,11,30,77,0.9,2,7
129,129,aotizhongxin_aq,2018/2/6 1:00,18,32,74,1.4,3,19
130,130,aotizhongxin_aq,2018/2/6 2:00,34,49,77,1.8,6,29
131,131,aotizhongxin_aq,2018/2/6 3:00,38,55,75,1.7,10,22
132,132,aotizhongxin_aq,2018/2/6 4:00,33,46,70,1.2,18,13
133,133,aotizhongxin_aq,2018/2/6 5:00,50,,60,1,36,16
134,134,aotizhongxin_aq,2018/2/6 6:00,72,,46,1,54,20
135,135,aotizhongxin_aq,2018/2/6 7:00,80,86,48,1.1,58,20
136,136,aotizhongxin_aq,2018/2/6 8:00,71,81,44,1,61,19
137,137,aotizhongxin_aq,2018/2/6 9:00,76,90,47,1.1,60,21
138,138,aotizhongxin_aq,2018/2/6 10:00,89,112,69,1.5,37,30
139,139,aotizhongxin_aq,2018/2/6 11:00,90,116,76,1.5,24,28
140,140,aotizhongxin_aq,2018/2/6 12:00,82,109,78,1.3,16,27
141,141,aotizhongxin_aq,2018/2/6 13:00,77,107,88,1.3,5,22
142,142,aotizhongxin_aq,2018/2/6 14:00,85,107,92,1.4,2,22
143,143,aotizhongxin_aq,2018/2/6 15:00,92,116,93,1.4,2,23
144,144,aotizhongxin_aq,2018/2/6 16:00,84,105,102,1.8,2,23
145,145,aotizhongxin_aq,2018/2/6 17:00,94,114,99,2.1,2,33
146,146,aotizhongxin_aq,2018/2/6 18:00,88,101,91,1.8,2,25
147,147,aotizhongxin_aq,2018/2/6 19:00,93,101,88,1.7,2,25
148,148,aotizhongxin_aq,2018/2/6 20:00,93,111,90,1.8,2,24
149,149,aotizhongxin_aq,2018/2/6 21:00,74,105,77,1.4,2,10
150,150,aotizhongxin_aq,2018/2/6 22:00,86,94,86,1.9,2,14
151,151,aotizhongxin_aq,2018/2/6 23:00,58,80,71,1.2,9,16
152,152,aotizhongxin_aq,2018/2/7 0:00,19,35,45,0.5,42,5
153,153,aotizhongxin_aq,2018/2/7 1:00,11,52,17,0.3,70,2
154,154,aotizhongxin_aq,2018/2/7 2:00,4,46,8,0.2,80,2
155,155,aotizhongxin_aq,2018/2/7 3:00,6,52,6,0.2,83,3
156,156,aotizhongxin_aq,2018/2/7 4:00,8,81,,,,
157,157,aotizhongxin_aq,2018/2/7 5:00,9,29,8,0.3,80,4
158,158,aotizhongxin_aq,2018/2/7 6:00,8,28,6,0.2,83,4
159,159,aotizhongxin_aq,2018/2/7 7:00,8,34,6,0.2,85,3
160,160,aotizhongxin_aq,2018/2/7 8:00,9,29,7,0.2,85,3
161,161,aotizhongxin_aq,2018/2/7 9:00,8,30,9,0.2,83,2
162,162,aotizhongxin_aq,2018/2/7 10:00,6,26,13,0.2,79,2
163,163,aotizhongxin_aq,2018/2/7 11:00,10,28,18,0.3,73,2
164,164,aotizhongxin_aq,2018/2/7 12:00,11,17,15,0.3,77,3
165,165,aotizhongxin_aq,2018/2/7 13:00,6,16,15,0.3,76,6
166,166,aotizhongxin_aq,2018/2/7 14:00,8,13,14,0.3,75,4
167,167,aotizhongxin_aq,2018/2/7 15:00,8,14,23,0.3,63,4
168,168,aotizhongxin_aq,2018/2/7 16:00,11,22,34,0.3,49,2
169,169,aotizhongxin_aq,2018/2/7 17:00,10,,37,0.3,44,2
170,170,aotizhongxin_aq,2018/2/7 18:00,10,13,32,0.3,47,2
171,171,aotizhongxin_aq,2018/2/7 19:00,6,11,41,0.3,34,2
172,172,aotizhongxin_aq,2018/2/7 20:00,9,14,71,0.4,2,3
173,173,aotizhongxin_aq,2018/2/7 21:00,9,15,68,0.4,2,3
174,174,aotizhongxin_aq,2018/2/7 22:00,12,23,76,0.5,2,4
175,175,aotizhongxin_aq,2018/2/7 23:00,14,30,82,0.7,2,6
176,176,aotizhongxin_aq,2018/2/8 0:00,61,79,76,1.5,2,7
177,177,aotizhongxin_aq,2018/2/8 1:00,76,89,75,1.6,2,9
178,178,aotizhongxin_aq,2018/2/8 2:00,94,104,80,1.9,4,10
179,179,aotizhongxin_aq,2018/2/8 3:00,117,,76,,8,9
180,180,aotizhongxin_aq,2018/2/8 4:00,133,,,2.1,,9
181,181,aotizhongxin_aq,2018/2/8 5:00,130,,77,2,13,
182,182,aotizhongxin_aq,2018/2/8 6:00,,8,47,1.2,60,14
183,183,aotizhongxin_aq,2018/2/8 7:00,33,91,36,1,74,12
184,184,aotizhongxin_aq,2018/2/8 8:00,50,113,31,0.9,78,12
185,185,aotizhongxin_aq,2018/2/8 9:00,53,119,34,0.8,73,16
186,186,aotizhongxin_aq,2018/2/8 10:00,57,119,40,0.9,64,16
187,187,aotizhongxin_aq,2018/2/8 11:00,61,123,50,1,50,15
188,188,aotizhongxin_aq,2018/2/8 12:00,58,127,59,1,39,12
189,189,aotizhongxin_aq,2018/2/8 13:00,90,146,98,1.8,7,13
190,190,aotizhongxin_aq,2018/2/8 14:00,106,133,101,2,5,16
191,191,aotizhongxin_aq,2018/2/8 15:00,105,140,101,2.2,6,28
192,192,aotizhongxin_aq,2018/2/8 16:00,103,134,96,2.2,6,29
193,193,aotizhongxin_aq,2018/2/8 17:00,101,134,89,2,5,27
194,194,aotizhongxin_aq,2018/2/8 18:00,97,110,88,2.1,5,28
195,195,aotizhongxin_aq,2018/2/8 19:00,90,108,86,1.8,4,24
196,196,aotizhongxin_aq,2018/2/8 20:00,91,102,86,1.7,4,19
197,197,aotizhongxin_aq,2018/2/8 21:00,77,100,79,1.4,4,16
198,198,aotizhongxin_aq,2018/2/8 22:00,77,101,81,1.3,4,15
199,199,aotizhongxin_aq,2018/2/8 23:00,74,108,82,1.3,4,16
200,200,aotizhongxin_aq,2018/2/9 0:00,75,123,84,1.5,5,21
201,201,aotizhongxin_aq,2018/2/9 1:00,74,146,76,1.5,10,20
202,202,aotizhongxin_aq,2018/2/9 2:00,59,180,53,0.8,35,10
203,203,aotizhongxin_aq,2018/2/9 3:00,36,168,18,0.3,74,4
204,204,aotizhongxin_aq,2018/2/9 4:00,17,155,8,0.2,86,2
205,205,aotizhongxin_aq,2018/2/9 5:00,14,127,7,0.2,87,2
206,206,aotizhongxin_aq,2018/2/9 6:00,6,82,7,0.2,85,2
207,207,aotizhongxin_aq,2018/2/9 7:00,9,87,6,0.2,86,3
208,208,aotizhongxin_aq,2018/2/9 8:00,13,126,7,0.2,84,2
209,209,aotizhongxin_aq,2018/2/9 9:00,16,166,7,0.2,86,2
210,210,aotizhongxin_aq,2018/2/9 10:00,9,137,7,0.2,84,2
211,211,aotizhongxin_aq,2018/2/9 11:00,11,107,7,0.2,82,2
212,212,aotizhongxin_aq,2018/2/9 12:00,10,91,9,0.2,74,2
213,213,aotizhongxin_aq,2018/2/9 13:00,10,62,10,0.2,72,2
214,214,aotizhongxin_aq,2018/2/9 14:00,11,48,11,0.2,68,2
215,215,aotizhongxin_aq,2018/2/9 15:00,11,36,9,0.3,70,4
216,216,aotizhongxin_aq,2018/2/9 16:00,14,32,11,0.3,68,5
217,217,aotizhongxin_aq,2018/2/9 17:00,9,30,11,0.3,68,5
218,218,aotizhongxin_aq,2018/2/9 18:00,8,23,14,0.3,65,6
219,219,aotizhongxin_aq,2018/2/9 19:00,11,25,11,0.3,68,6
220,220,aotizhongxin_aq,2018/2/9 20:00,9,17,21,0.3,,5
221,221,aotizhongxin_aq,2018/2/9 21:00,9,20,25,0.3,42,5
222,222,aotizhongxin_aq,2018/2/9 22:00,11,23,24,0.3,43,5
223,223,aotizhongxin_aq,2018/2/9 23:00,14,28,20,0.3,49,5
224,224,aotizhongxin_aq,2018/2/10 0:00,11,33,15,0.3,55,4
225,225,aotizhongxin_aq,2018/2/10 1:00,13,34,12,0.3,58,4
226,226,aotizhongxin_aq,2018/2/10 2:00,10,33,6,0.3,65,2
227,227,aotizhongxin_aq,2018/2/10 3:00,5,24,3,0.2,75,2
228,228,aotizhongxin_aq,2018/2/10 4:00,5,41,3,0.2,78,2
229,229,aotizhongxin_aq,2018/2/10 5:00,10,37,3,0.2,79,3
230,230,aotizhongxin_aq,2018/2/10 6:00,12,44,3,0.2,81,2
231,231,aotizhongxin_aq,2018/2/10 7:00,11,49,3,0.2,82,2
232,232,aotizhongxin_aq,2018/2/10 8:00,9,45,4,0.2,81,2
233,233,aotizhongxin_aq,2018/2/10 9:00,7,39,4,0.1,82,2
234,234,aotizhongxin_aq,2018/2/10 10:00,4,64,7,0.2,76,2
235,235,aotizhongxin_aq,2018/2/10 11:00,8,76,8,0.2,73,2
236,236,aotizhongxin_aq,2018/2/10 12:00,7,73,11,0.2,70,2
237,237,aotizhongxin_aq,2018/2/10 13:00,9,73,13,0.2,68,2
238,238,aotizhongxin_aq,2018/2/10 14:00,8,88,8,0.2,72,2
239,239,aotizhongxin_aq,2018/2/10 15:00,7,96,5,0.2,72,2
240,240,aotizhongxin_aq,2018/2/10 16:00,9,78,5,0.2,70,2
241,241,aotizhongxin_aq,2018/2/10 17:00,9,75,5,0.2,69,2
242,242,aotizhongxin_aq,2018/2/10 18:00,13,55,4,0.2,70,2
243,243,aotizhongxin_aq,2018/2/10 19:00,9,31,3,0.2,72,2
244,244,aotizhongxin_aq,2018/2/10 20:00,10,31,4,0.2,69,2
245,245,aotizhongxin_aq,2018/2/10 21:00,11,31,6,0.2,72,2
246,246,aotizhongxin_aq,2018/2/10 22:00,10,41,5,0.2,72,2
247,247,aotizhongxin_aq,2018/2/10 23:00,6,55,6,0.2,72,2
248,248,aotizhongxin_aq,2018/2/11 0:00,7,71,7,0.2,71,2
249,249,aotizhongxin_aq,2018/2/11 1:00,8,67,6,0.2,69,2
250,250,aotizhongxin_aq,2018/2/11 2:00,9,72,5,0.2,71,2
251,251,aotizhongxin_aq,2018/2/11 3:00,15,101,4,0.2,74,2
252,252,aotizhongxin_aq,2018/2/11 4:00,12,78,4,0.2,76,2
253,253,aotizhongxin_aq,2018/2/11 5:00,7,80,4,0.2,76,2
254,254,aotizhongxin_aq,2018/2/11 6:00,8,80,4,0.2,79,2
255,255,aotizhongxin_aq,2018/2/11 7:00,7,99,4,0.2,81,2
256,256,aotizhongxin_aq,2018/2/11 8:00,11,121,4,0.2,81,2
257,257,aotizhongxin_aq,2018/2/11 9:00,14,113,6,0.2,80,2
258,258,aotizhongxin_aq,2018/2/11 10:00,8,105,8,0.2,77,2
259,259,aotizhongxin_aq,2018/2/11 11:00,8,130,8,0.2,74,2
260,260,aotizhongxin_aq,2018/2/11 12:00,11,150,8,0.2,72,2
261,261,aotizhongxin_aq,2018/2/11 13:00,14,193,6,0.2,71,2
262,262,aotizhongxin_aq,2018/2/11 14:00,15,254,6,0.2,69,2
263,263,aotizhongxin_aq,2018/2/11 15:00,13,176,5,0.2,70,2
264,264,aotizhongxin_aq,2018/2/11 16:00,12,134,5,0.2,68,2
265,265,aotizhongxin_aq,2018/2/11 17:00,12,133,6,0.2,66,2
266,266,aotizhongxin_aq,2018/2/11 18:00,9,107,7,0.2,66,2
267,267,aotizhongxin_aq,2018/2/11 19:00,9,74,5,0.2,70,2
268,268,aotizhongxin_aq,2018/2/11 20:00,13,75,4,0.2,72,2
269,269,aotizhongxin_aq,2018/2/11 21:00,,,,,,
270,270,aotizhongxin_aq,2018/2/11 22:00,6,94,4,0.2,72,2
271,271,aotizhongxin_aq,2018/2/11 23:00,6,77,6,0.2,70,2
272,272,aotizhongxin_aq,2018/2/12 0:00,6,62,8,0.2,70,2
273,273,aotizhongxin_aq,2018/2/12 1:00,4,46,7,0.2,73,2
274,274,aotizhongxin_aq,2018/2/12 2:00,6,32,6,0.2,76,2
275,275,aotizhongxin_aq,2018/2/12 3:00,7,29,4,0.2,79,2
276,276,aotizhongxin_aq,2018/2/12 4:00,4,29,3,0.2,81,2
277,277,aotizhongxin_aq,2018/2/12 5:00,10,22,3,0.2,83,2
278,278,aotizhongxin_aq,2018/2/12 6:00,7,19,4,0.2,85,2
279,279,aotizhongxin_aq,2018/2/12 7:00,7,22,4,0.2,85,2
280,280,aotizhongxin_aq,2018/2/12 8:00,9,33,12,0.3,82,8
281,281,aotizhongxin_aq,2018/2/12 9:00,14,36,14,0.3,81,7
282,282,aotizhongxin_aq,2018/2/12 10:00,14,43,21,0.3,71,3
283,283,aotizhongxin_aq,2018/2/12 11:00,12,48,30,0.3,60,20
284,284,aotizhongxin_aq,2018/2/12 12:00,13,37,34,0.4,53,12
285,285,aotizhongxin_aq,2018/2/12 13:00,19,43,35,0.4,51,4
286,286,aotizhongxin_aq,2018/2/12 14:00,18,50,44,0.5,38,6
287,287,aotizhongxin_aq,2018/2/12 15:00,28,60,72,0.8,2,7
288,288,aotizhongxin_aq,2018/2/12 16:00,25,49,75,0.9,2,6
289,289,aotizhongxin_aq,2018/2/12 17:00,27,56,75,1,2,5
290,290,aotizhongxin_aq,2018/2/12 18:00,29,53,76,0.9,2,7
291,291,aotizhongxin_aq,2018/2/12 19:00,33,55,70,1,2,8
292,292,aotizhongxin_aq,2018/2/12 20:00,22,54,40,0.7,,6
293,293,aotizhongxin_aq,2018/2/12 21:00,22,32,54,0.8,8,6
294,294,aotizhongxin_aq,2018/2/12 22:00,18,40,52,0.8,8,5
295,295,aotizhongxin_aq,2018/2/12 23:00,14,39,51,0.8,9,9
296,296,aotizhongxin_aq,2018/2/13 0:00,17,44,40,0.6,24,5
297,297,aotizhongxin_aq,2018/2/13 1:00,22,47,43,0.8,23,7
298,298,aotizhongxin_aq,2018/2/13 2:00,40,65,54,1.1,18,12
299,299,aotizhongxin_aq,2018/2/13 3:00,50,75,60,1.2,21,16
300,300,aotizhongxin_aq,2018/2/13 4:00,70,89,69,1.4,25,18
301,301,aotizhongxin_aq,2018/2/13 5:00,79,92,69,1.4,37,20
302,302,aotizhongxin_aq,2018/2/13 6:00,82,85,71,1.4,43,19
303,303,aotizhongxin_aq,2018/2/13 7:00,82,95,75,1.4,44,18
304,304,aotizhongxin_aq,2018/2/13 8:00,90,97,74,1.4,52,20
305,305,aotizhongxin_aq,2018/2/13 9:00,90,94,70,1.2,58,20
306,306,aotizhongxin_aq,2018/2/13 10:00,85,97,80,1.2,42,21
307,307,aotizhongxin_aq,2018/2/13 11:00,102,114,105,1.6,10,17
308,308,aotizhongxin_aq,2018/2/13 12:00,102,117,116,1.7,2,15
309,309,aotizhongxin_aq,2018/2/13 13:00,117,125,116,2.1,2,37
310,310,aotizhongxin_aq,2018/2/13 14:00,130,136,115,2.9,2,74
311,311,aotizhongxin_aq,2018/2/13 15:00,122,139,115,2.6,2,47
312,312,aotizhongxin_aq,2018/2/13 16:00,114,140,116,2.8,2,38
313,313,aotizhongxin_aq,2018/2/13 17:00,116,129,112,2.7,2,30
314,314,aotizhongxin_aq,2018/2/13 18:00,84,99,97,1.7,2,16
315,315,aotizhongxin_aq,2018/2/13 19:00,44,67,56,0.9,30,7
316,316,aotizhongxin_aq,2018/2/13 20:00,18,57,22,0.5,59,3
317,317,aotizhongxin_aq,2018/2/13 21:00,7,53,9,0.2,81,2
318,318,aotizhongxin_aq,2018/2/13 22:00,3,24,9,0.2,85,2
319,319,aotizhongxin_aq,2018/2/13 23:00,4,29,12,0.3,79,2
320,320,aotizhongxin_aq,2018/2/14 0:00,3,24,12,0.2,79,2
321,321,aotizhongxin_aq,2018/2/14 1:00,5,44,14,0.3,,2
322,322,aotizhongxin_aq,2018/2/14 2:00,5,26,,,66,
323,323,aotizhongxin_aq,2018/2/14 3:00,9,17,9,0.4,80,3
324,324,aotizhongxin_aq,2018/2/14 4:00,10,22,15,0.3,74,3
325,325,aotizhongxin_aq,2018/2/14 5:00,10,19,22,0.3,69,3
326,326,aotizhongxin_aq,2018/2/14 6:00,11,13,17,0.3,75,3
327,327,aotizhongxin_aq,2018/2/14 7:00,6,19,23,0.3,71,3
328,328,aotizhongxin_aq,2018/2/14 8:00,12,21,24,0.3,71,3
329,329,aotizhongxin_aq,2018/2/14 9:00,12,27,27,0.2,68,3
330,330,aotizhongxin_aq,2018/2/14 10:00,11,18,25,0.2,69,3
331,331,aotizhongxin_aq,2018/2/14 11:00,8,22,22,0.2,71,3
332,332,aotizhongxin_aq,2018/2/14 12:00,12,32,33,0.4,58,6
333,333,aotizhongxin_aq,2018/2/14 13:00,17,34,32,0.5,59,11
334,334,aotizhongxin_aq,2018/2/14 14:00,11,20,20,0.3,72,5
335,335,aotizhongxin_aq,2018/2/14 15:00,10,17,13,0.2,78,5
336,336,aotizhongxin_aq,2018/2/14 16:00,8,19,14,0.2,75,3
337,337,aotizhongxin_aq,2018/2/14 17:00,8,17,16,0.3,70,
338,338,aotizhongxin_aq,2018/2/14 18:00,11,17,16,,68,
339,339,aotizhongxin_aq,2018/2/14 19:00,6,17,11,,71,2
340,340,aotizhongxin_aq,2018/2/14 20:00,7,16,,0.3,69,2
341,341,aotizhongxin_aq,2018/2/14 21:00,5,17,,0.2,68,2
342,342,aotizhongxin_aq,2018/2/14 22:00,6,17,10,0.2,70,2
343,343,aotizhongxin_aq,2018/2/14 23:00,7,14,21,0.2,60,2
344,344,aotizhongxin_aq,2018/2/15 0:00,8,18,23,0.2,57,2
345,345,aotizhongxin_aq,2018/2/15 1:00,6,26,18,0.3,61,3
346,346,aotizhongxin_aq,2018/2/15 2:00,13,22,22,1,58,3
347,347,aotizhongxin_aq,2018/2/15 3:00,12,14,23,0.4,61,3
348,348,aotizhongxin_aq,2018/2/15 4:00,,,,,,
