,neighbor1,neighbor2,neighbor3,neighbor4,neighbor5,neighbor6,neighbor7,neighbor8,neighbor9,neighbor10,neighbor11,neighbor12,neighbor13,neighbor14,neighbor15,neighbor16,neighbor17,neighbor18,neighbor19,neighbor20,neighbor21,neighbor22,neighbor23,neighbor24,neighbor25,neighbor26,neighbor27,neighbor28,neighbor29,neighbor30,neighbor31,neighbor32,neighbor33,neighbor34,neighbor35,neighbor36
A1013,A1013,A1022,A1021,A1012,A1020,A1015,A1014,A1007,A1010,A1008,A1009,A1011,A1006,A1016,A1018,A1002,A1003,A1019,A1017,A1004,A1025,A1001,A1023,A1005,A1024,A1034,A1030,A1035,A1027,A1036,A1028,A1031,A1033,A1026,A1029,A1032
A1014,A1014,A1012,A1022,A1013,A1007,A1021,A1020,A1010,A1015,A1008,A1009,A1011,A1018,A1019,A1006,A1016,A1002,A1023,A1017,A1003,A1004,A1001,A1025,A1034,A1005,A1024,A1027,A1030,A1035,A1028,A1033,A1026,A1036,A1031,A1029,A1032
A1015,A1015,A1008,A1021,A1013,A1009,A1020,A1010,A1007,A1022,A1011,A1006,A1012,A1016,A1014,A1003,A1002,A1004,A1018,A1025,A1001,A1017,A1019,A1005,A1024,A1023,A1030,A1034,A1035,A1036,A1027,A1031,A1028,A1029,A1026,A1033,A1032
A1016,A1016,A1009,A1011,A1015,A1003,A1010,A1004,A1021,A1020,A1008,A1006,A1013,A1022,A1007,A1002,A1025,A1012,A1005,A1014,A1017,A1018,A1001,A1019,A1035,A1024,A1036,A1023,A1034,A1030,A1027,A1031,A1029,A1028,A1033,A1026,A1032
A1017,A1017,A1018,A1011,A1010,A1009,A1020,A1016,A1021,A1022,A1004,A1005,A1013,A1035,A1015,A1012,A1014,A1008,A1019,A1003,A1007,A1006,A1034,A1025,A1002,A1036,A1001,A1023,A1024,A1030,A1027,A1033,A1026,A1031,A1028,A1029,A1032
A1018,A1018,A1017,A1010,A1020,A1011,A1021,A1022,A1009,A1014,A1012,A1013,A1019,A1015,A1016,A1008,A1007,A1034,A1006,A1004,A1003,A1005,A1002,A1035,A1025,A1023,A1001,A1036,A1024,A1027,A1030,A1033,A1026,A1028,A1031,A1032,A1029
A1019,A1019,A1014,A1018,A1012,A1022,A1013,A1034,A1020,A1021,A1010,A1007,A1011,A1009,A1023,A1015,A1008,A1017,A1016,A1006,A1003,A1002,A1004,A1033,A1026,A1001,A1005,A1025,A1027,A1035,A1024,A1028,A1030,A1036,A1032,A1031,A1029
A1020,A1020,A1010,A1021,A1011,A1009,A1013,A1022,A1015,A1012,A1014,A1008,A1007,A1016,A1018,A1006,A1017,A1003,A1002,A1004,A1019,A1025,A1005,A1001,A1023,A1034,A1024,A1035,A1030,A1036,A1027,A1031,A1028,A1033,A1026,A1029,A1032
A1021,A1021,A1020,A1010,A1013,A1009,A1022,A1015,A1011,A1012,A1008,A1014,A1007,A1016,A1006,A1018,A1003,A1002,A1017,A1004,A1019,A1025,A1005,A1001,A1023,A1024,A1034,A1035,A1030,A1036,A1027,A1031,A1028,A1033,A1026,A1029,A1032
A1022,A1022,A1012,A1013,A1014,A1021,A1020,A1010,A1007,A1015,A1008,A1009,A1011,A1018,A1006,A1016,A1019,A1003,A1002,A1017,A1004,A1025,A1023,A1001,A1005,A1034,A1024,A1030,A1035,A1027,A1036,A1028,A1033,A1026,A1031,A1029,A1032
A1023,A1023,A1027,A1014,A1012,A1019,A1007,A1022,A1013,A1028,A1008,A1021,A1015,A1020,A1006,A1010,A1024,A1009,A1026,A1011,A1018,A1033,A1002,A1001,A1030,A1016,A1003,A1032,A1034,A1017,A1025,A1004,A1005,A1031,A1029,A1035,A1036
A1024,A1024,A1030,A1001,A1002,A1006,A1031,A1007,A1008,A1025,A1015,A1003,A1029,A1013,A1027,A1012,A1023,A1022,A1014,A1021,A1009,A1016,A1020,A1010,A1011,A1004,A1019,A1018,A1005,A1028,A1017,A1032,A1034,A1036,A1026,A1033,A1035
A1025,A1025,A1003,A1002,A1004,A1006,A1016,A1001,A1008,A1015,A1005,A1009,A1011,A1021,A1007,A1010,A1020,A1013,A1022,A1012,A1014,A1024,A1017,A1018,A1030,A1036,A1019,A1031,A1035,A1023,A1029,A1027,A1034,A1028,A1026,A1033,A1032
A1026,A1026,A1033,A1028,A1023,A1032,A1027,A1019,A1034,A1014,A1012,A1022,A1007,A1013,A1018,A1020,A1021,A1010,A1008,A1015,A1011,A1009,A1006,A1024,A1017,A1016,A1030,A1002,A1001,A1003,A1004,A1025,A1005,A1035,A1031,A1029,A1036
A1027,A1027,A1028,A1023,A1032,A1030,A1024,A1007,A1014,A1026,A1012,A1001,A1006,A1013,A1008,A1022,A1033,A1019,A1015,A1002,A1021,A1020,A1010,A1031,A1009,A1011,A1029,A1003,A1016,A1018,A1025,A1004,A1034,A1017,A1005,A1035,A1036
A1028,A1028,A1032,A1027,A1023,A1026,A1033,A1030,A1024,A1019,A1014,A1007,A1012,A1022,A1013,A1008,A1006,A1015,A1001,A1021,A1020,A1010,A1002,A1009,A1011,A1018,A1031,A1034,A1016,A1029,A1003,A1025,A1017,A1004,A1005,A1035,A1036
A1029,A1029,A1031,A1030,A1024,A1001,A1002,A1027,A1006,A1025,A1003,A1007,A1008,A1015,A1023,A1013,A1016,A1012,A1021,A1022,A1009,A1014,A1004,A1020,A1028,A1010,A1011,A1032,A1005,A1018,A1019,A1017,A1036,A1026,A1033,A1035,A1034
A1030,A1030,A1024,A1031,A1001,A1029,A1002,A1006,A1027,A1007,A1008,A1025,A1023,A1015,A1003,A1013,A1012,A1014,A1022,A1021,A1009,A1020,A1016,A1010,A1011,A1028,A1004,A1019,A1018,A1005,A1032,A1017,A1026,A1033,A1034,A1036,A1035
A1031,A1031,A1029,A1030,A1024,A1001,A1002,A1025,A1006,A1003,A1027,A1007,A1008,A1015,A1013,A1016,A1012,A1021,A1009,A1023,A1022,A1004,A1014,A1020,A1010,A1011,A1005,A1028,A1018,A1019,A1032,A1017,A1036,A1026,A1035,A1034,A1033
A1032,A1032,A1028,A1027,A1026,A1023,A1033,A1030,A1024,A1019,A1014,A1007,A1012,A1022,A1013,A1008,A1001,A1006,A1015,A1031,A1029,A1021,A1020,A1002,A1010,A1009,A1011,A1018,A1034,A1016,A1003,A1025,A1017,A1004,A1005,A1035,A1036
A1033,A1033,A1026,A1028,A1023,A1019,A1032,A1027,A1034,A1014,A1012,A1022,A1018,A1013,A1007,A1020,A1021,A1010,A1008,A1015,A1011,A1009,A1006,A1017,A1016,A1024,A1002,A1030,A1001,A1003,A1004,A1025,A1005,A1035,A1031,A1029,A1036
A1034,A1034,A1019,A1018,A1017,A1014,A1022,A1012,A1020,A1010,A1011,A1021,A1013,A1009,A1015,A1007,A1008,A1016,A1035,A1023,A1033,A1006,A1004,A1026,A1005,A1003,A1002,A1025,A1001,A1036,A1027,A1028,A1024,A1030,A1032,A1031,A1029
A1035,A1035,A1017,A1036,A1005,A1004,A1018,A1011,A1016,A1009,A1010,A1020,A1021,A1003,A1015,A1022,A1034,A1013,A1012,A1008,A1014,A1025,A1019,A1006,A1007,A1002,A1001,A1023,A1024,A1030,A1027,A1033,A1026,A1031,A1028,A1029,A1032
A1036,A1036,A1005,A1035,A1004,A1017,A1016,A1003,A1025,A1011,A1009,A1010,A1020,A1021,A1015,A1018,A1002,A1008,A1006,A1013,A1022,A1012,A1007,A1014,A1001,A1019,A1034,A1024,A1030,A1023,A1031,A1029,A1027,A1033,A1026,A1028,A1032
