,A1001,A1002,A1003,A1004,A1005,A1006,A1007,A1008,A1009,A1010,A1011,A1012,A1013,A1014,A1015,A1016,A1017,A1018,A1019,A1020,A1021,A1022,A1023,A1024,A1025,A1026,A1027,A1028,A1029,A1030,A1031,A1032,A1033,A1034,A1035,A1036
A1017,45.93015713079936,36.10866181897728,28.90500120931927,22.79780443278334,23.260295051014182,31.59871315801529,29.354565789253165,26.681162707123004,18.388441455880667,17.603547442755964,15.670255256872327,24.79080287509877,23.495598934312103,25.49537196782558,23.94671144188887,19.46789005738274,0.0,12.057309693575395,28.827317674224904,18.7193058664234,20.14599928713257,22.779241454316868,50.17117493783309,57.46535051664311,35.34393497768181,75.70887272961762,70.39456501417303,81.04179397890913,89.6716469712515,65.74999466392659,80.25316467831293,96.86176621407027,74.2291562816843,32.240568675354915,23.835401774868505,38.01539891051268
A1018,43.46817357454312,34.667154763179255,30.556218558013594,28.7230619479922,32.16505488517693,28.432210444017016,22.832647196895046,22.249211817833505,16.133842287358366,13.20899746801725,13.661100860943545,16.329603480374587,16.820557121729202,16.244931257409654,20.00969470455187,20.865428657617798,12.057309693575395,0.0,16.835856320192285,13.268194436456987,15.00296235106622,15.055333966386636,39.08461937748554,52.54601383252858,37.66215647258341,63.728921999383566,60.22060676539792,69.73454270537921,86.17134022188367,60.451714066227446,77.2594347021016,85.55650542245625,62.37590240843093,25.369033573473796,35.26397593796922,49.456220241142304
A1019,47.63261290776562,41.283914175759904,41.06815310969539,42.80288156959354,47.80857283732672,34.06470058143274,25.16381814007918,27.945649772126753,26.649811543028164,23.073864752482624,25.499880738862604,18.283754835580883,21.65306506380082,16.530327768590634,27.154598711429248,32.95055848783149,28.827317674224904,16.835856320192285,0.0,21.91187057896244,22.982781407699036,19.24228496405219,26.8937359920237,52.215642500791255,47.95290099327927,46.895108907112686,49.32858895974415,55.7594941087266,86.28119783132951,58.935401433953395,78.42777528375903,71.39489071492544,45.58757631421011,21.77513225776165,51.185784767948874,66.16339121806593
A1020,30.203566180931837,21.616064032814442,19.284283912203502,21.66912585779618,28.149378334067823,15.172082793688217,10.659870370942626,9.011201427470711,4.814732867888146,1.6156610827491833,4.787078924026088,7.24055295279328,4.827601913662342,8.789944657001765,6.763341055349218,11.241646636856949,18.7193058664234,13.268194436456987,21.91187057896244,0.0,1.7377891676354602,4.919048645748082,34.060209546669086,39.7303977449217,26.309190959559054,65.52066831907112,52.55765238725962,64.76078329878641,73.05100099733086,47.824493849759996,64.04939510825282,80.42828854391696,65.18617475913585,37.50088646634145,41.77407292385956,48.73252189167883
A1021,28.47334076926213,19.95847218485592,18.089758061140387,21.29794667244284,28.15789566737225,13.446249366496765,9.221677357805595,7.275435407041846,4.374857345278907,2.554729483840471,5.346619670149199,6.993444413162796,3.8214305394739116,8.77416610517646,5.055884473384529,10.686832629782794,20.14599928713257,15.00296235106622,22.982781407699036,1.7377891676354602,0.0,4.7659116995911806,33.62794719619051,38.04442361290869,25.03593926062775,65.8436462389488,51.627637909438775,64.17969459239201,71.32204639689562,46.16168230322384,62.313047437415925,79.79256361737272,65.64010496591997,39.1067687701125,42.940244435082995,49.012060921833594
A1022,29.739667447255073,22.293719779753225,22.118220981649646,26.050562042808345,32.89009200534616,15.204849039059837,7.842527276690112,8.852318422448167,9.140020341776678,6.527851701839884,9.692357167480235,2.3216118724548043,2.4458357761946417,4.008296716633356,7.9348809795012105,15.412721515393422,22.779241454316868,15.055333966386636,19.24228496405219,4.919048645748082,4.7659116995911806,0.0,29.141427962448784,37.593320667057235,28.828874127256732,61.107118502709774,47.90023231132815,59.86190709466104,71.43740155869264,45.420705170005775,62.73971129269554,75.54570232581857,60.96103581258768,37.16302329444579,46.245562477378165,53.61805278045678
A1023,41.14304803998498,40.64047132565767,46.53814541533318,53.87640465343082,61.50748688892485,34.925680190933925,27.2116138947081,32.380194968494344,37.836647856519484,35.66552827955553,38.81897550222252,26.82048005953128,29.906233723211376,25.43659194757853,33.957521366385585,43.406794748365336,50.17117493783309,39.08461937748554,26.8937359920237,34.060209546669086,33.62794719619051,29.141427962448784,0.0,37.47132131164916,51.29499674980299,37.871907715706925,22.46744498753947,30.91521559656564,68.3368513421747,41.24490985118517,62.49031826994888,46.71368133209081,39.65672128394361,47.41946353092338,73.99139910724126,82.61765211677206
A1024,14.842809950465151,23.78286940950572,33.871122024826164,44.96623590784767,53.33646535648822,26.00318726660461,29.752950560994556,30.941747459959775,39.078043603274864,40.38664887928494,41.825215014127764,36.7962795187093,35.72618907803288,37.654386607411425,33.60721166963533,39.53212113267402,57.46535051664311,52.54601383252858,52.215642500791255,39.7303977449217,38.04442361290869,37.593320667057235,37.47132131164916,0.0,32.873663946591805,74.36742171310121,35.95123327441343,53.817116804322,34.159568968285136,8.382807469407478,26.308343654513536,65.67205447361104,76.74465128129602,73.30973637159364,77.73276062673965,73.49845691822719
A1025,18.03090895215254,11.271416017752454,7.128953819221538,14.647579758877116,21.749461077409915,16.445592922766558,25.336569086819242,20.80120467104183,21.975932595665622,25.480048076205946,24.084294747296347,30.244960298321423,26.520980447125787,32.20692772288126,20.909683862868036,16.877410381985705,35.34393497768181,37.66215647258341,47.95290099327927,26.309190959559054,25.03593926062775,28.828874127256732,51.29499674980299,32.873663946591805,0.0,87.66464168882354,62.12605381070293,78.26367194274856,58.49470223413062,40.64732392946723,48.636808679645576,92.6116119601692,88.23075653298717,62.996042607618534,49.24690523965249,40.717594280862805
A1026,78.99398727322163,77.68178337962145,82.00997264244641,87.1368153037603,93.4546589129096,71.2808901813049,62.413454657170455,67.28968391363925,70.18246272625325,67.04901201776622,70.0609257373696,59.039157427103675,62.824824832525444,57.13047768074245,68.04717944922584,76.51949582189093,75.70887272961762,63.728921999383566,46.895108907112686,65.52066831907112,65.8436462389488,61.107118502709774,37.871907715706925,74.36742171310121,87.66464168882354,0.0,45.03831597992532,33.97541999261781,101.68282979814468,76.53381639670361,97.541706290356,42.705315112739946,5.0748312271588025,55.02238610261451,97.28992068415228,112.84402809042916
A1027,46.75075746510596,50.87626256502454,59.487286773512594,69.01760452371632,77.38804405910831,47.67256530503547,43.17211538022337,47.86989671247813,55.251858630545726,54.0379187974796,56.964360194645245,45.730866508861496,47.83044626560457,44.900463015074635,50.198982137113795,59.57282167036554,70.39456501417303,60.22060676539792,49.32858895974415,52.55765238725962,51.627637909438775,47.90023231132815,22.46744498753947,35.95123327441343,62.12605381070293,45.03831597992532,0.0,17.90725425566767,57.26968366260744,34.8260980494237,54.39350397509476,30.587559443984116,48.867814973165146,69.75626304261854,94.09851118425476,98.9098945707786
A1028,63.9461171548393,67.01239381675164,74.82019494637561,83.46730117347505,91.50278646013903,62.856935832957205,56.782044851810966,61.83766166585177,68.23763369538156,66.34707658011087,69.46449316455139,57.553828908958025,60.38458074728127,56.27493886442243,63.81545752180978,73.3681985766382,81.04179397890913,69.73454270537921,55.7594941087266,64.76078329878641,64.17969459239201,59.86190709466104,30.91521559656564,53.817116804322,78.26367194274856,33.97541999261781,17.90725425566767,0.0,73.39406816562999,52.59663782236928,71.50563821237628,15.82608957509572,38.71725036874015,73.28505581791103,104.83287827565769,112.88284876977514
A1029,43.767016451015934,53.71708420240019,62.54378027638736,72.9208000173605,80.1975657658844,58.29861372527025,63.61555820425957,64.05609213031249,71.6078926892078,73.48292418412039,74.42397610685343,70.80805377688945,69.4205764915587,71.75483022050747,66.53989371656654,70.5563200712701,89.6716469712515,86.17134022188367,86.28119783132951,73.05100099733086,71.32204639689562,71.43740155869264,68.3368513421747,34.159568968285136,58.49470223413062,101.68282979814468,57.26968366260744,73.39406816562999,0.0,27.602148531348682,9.878507377397225,79.58828234999861,105.00144005903323,107.4685466428247,107.44246577285095,97.10270084901885
A1030,22.730900192774858,32.05407062337912,42.096283055928325,53.18857721382781,61.48905940522887,34.361450594533466,37.6195572035507,39.14650059576903,47.36328537283982,48.54877762735863,50.0903252113581,44.45528796909888,43.669205161431584,45.15395419844681,41.8412806823085,47.9148483281602,65.74999466392659,60.451714066227446,58.935401433953395,47.824493849759996,46.16168230322384,45.420705170005775,41.24490985118517,8.382807469407478,40.64732392946723,76.53381639670361,34.8260980494237,52.59663782236928,27.602148531348682,0.0,21.27577258670007,62.881214844370916,79.36678395865084,80.36786399866897,86.113383727325,81.36257500532581
A1031,34.330527553225174,44.187833581218946,52.807458588157125,63.0968347163347,70.32724859517523,49.101943424208194,54.98296568031621,55.03824673145548,62.35290901788959,64.39062410352999,65.17023777709905,62.27379280627737,60.631342037970214,63.349840671783156,57.439076949362864,61.01416654576256,80.25316467831293,77.2594347021016,78.42777528375903,64.04939510825282,62.313047437415925,62.73971129269554,62.49031826994888,26.308343654513536,48.636808679645576,97.541706290356,54.39350397509476,71.50563821237628,9.878507377397225,21.27577258670007,0.0,79.5296962288855,100.51055538401963,99.26073429069423,97.65193254897675,87.2942411271839
A1032,77.2860202940225,81.34363468704701,89.63513131742253,98.66979202806164,106.83077057264408,77.70593365935581,72.1427775157088,77.12555174563819,83.78606306849512,82.00427258506441,85.1017930041434,73.24666302629261,75.98324274748451,72.01209222858719,79.20684984688644,88.74566603465048,96.86176621407027,85.55650542245625,71.39489071492544,80.42828854391696,79.79256361737272,75.54570232581857,46.71368133209081,65.67205447361104,92.6116119601692,42.705315112739946,30.587559443984116,15.82608957509572,79.58828234999861,62.881214844370916,79.5296962288855,0.0,47.776201973033835,88.18501594075532,120.65749512523031,128.28367179095864
A1033,80.5123272382815,78.58309517360959,82.32801593508289,86.85521886881817,92.83663147054587,71.97035034221868,62.89670781018187,67.62488062296204,69.92497948434502,66.6699394030511,69.600145118814,58.98959517960101,62.815539405381465,57.04225845577615,68.18214230287882,76.323264986974,74.2291562816843,62.37590240843093,45.58757631421011,65.18617475913585,65.64010496591997,60.96103581258768,39.65672128394361,76.74465128129602,88.23075653298717,5.0748312271588025,48.867814973165146,38.71725036874015,105.00144005903323,79.36678395865084,100.51055538401963,47.776201973033835,0.0,51.84262457673324,95.21064869302344,111.74612747719567
A1034,66.90079319682066,59.03667518668078,55.87521642345352,53.5399757295135,55.43281233406494,52.21861247514483,44.55747709537146,45.80141166565635,41.201603459931896,37.9183287681296,38.92169852255528,37.20186922410977,39.514969442937776,35.96270059632127,44.100480021778566,46.23396780327778,32.240568675354915,25.369033573473796,21.77513225776165,37.50088646634145,39.1067687701125,37.16302329444579,47.41946353092338,73.30973637159364,62.996042607618534,55.02238610261451,69.75626304261854,73.28505581791103,107.4685466428247,80.36786399866897,99.26073429069423,88.18501594075532,51.84262457673324,0.0,46.556197689936255,68.62845902751015
A1035,64.36940982141832,54.41812193814293,44.96012592108693,34.62042040852456,28.473269790381323,51.97398052041011,52.048387165088194,48.44534669609075,40.076743359841586,40.414323596386495,37.80481130725323,48.375721184963,46.595559366421625,49.22749177480895,45.72112605774624,38.234090720908135,23.835401774868505,35.26397593796922,51.185784767948874,41.77407292385956,42.940244435082995,46.245562477378165,73.99139910724126,77.73276062673965,49.24690523965249,97.28992068415228,94.09851118425476,104.83287827565769,107.44246577285095,86.113383727325,97.65193254897675,120.65749512523031,95.21064869302344,46.556197689936255,0.0,26.572859236690917
A1036,58.68682455133269,50.29910983256373,40.383323623806845,29.96643212811018,21.521947405340107,51.52296109906738,56.141439263885495,51.182417958919224,44.7820214555459,47.11708351664706,43.94612135980993,55.928623707626116,52.711431018841566,57.51768018633905,49.08230835125078,39.538180480585,38.01539891051268,49.456220241142304,66.16339121806593,48.73252189167883,49.012060921833594,53.61805278045678,82.61765211677206,73.49845691822719,40.717594280862805,112.84402809042916,98.9098945707786,112.88284876977514,97.10270084901885,81.36257500532581,87.2942411271839,128.28367179095864,111.74612747719567,68.62845902751015,26.572859236690917,0.0
